Slice,Count,Total Area,Average Size,%Area,Mean
Basler_acA1920-25um__24398320__20240305_170239698_0224,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0225,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0226,2,0.257,0.129,3.692,255
Basler_acA1920-25um__24398320__20240305_170239698_0227,2,0.296,0.148,4.245,255
Basler_acA1920-25um__24398320__20240305_170239698_0228,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0229,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0230,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0231,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0232,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0233,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0234,1,0.168,0.168,2.408,255
Basler_acA1920-25um__24398320__20240305_170239698_0235,1,0.136,0.136,1.957,255
Basler_acA1920-25um__24398320__20240305_170239698_0236,1,0.116,0.116,1.667,255
Basler_acA1920-25um__24398320__20240305_170239698_0237,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0238,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0239,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0240,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0241,2,0.293,0.146,4.201,255
Basler_acA1920-25um__24398320__20240305_170239698_0242,1,0.127,0.127,1.824,255
Basler_acA1920-25um__24398320__20240305_170239698_0243,1,0.138,0.138,1.981,255
Basler_acA1920-25um__24398320__20240305_170239698_0244,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0245,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0246,1,0.213,0.213,3.053,255
Basler_acA1920-25um__24398320__20240305_170239698_0247,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0248,1,0.192,0.192,2.753,255
Basler_acA1920-25um__24398320__20240305_170239698_0249,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0250,1,0.166,0.166,2.374,255
Basler_acA1920-25um__24398320__20240305_170239698_0251,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0252,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0253,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0254,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0255,1,0.115,0.115,1.653,255
Basler_acA1920-25um__24398320__20240305_170239698_0256,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0257,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0258,1,0.023,0.023,0.324,255
Basler_acA1920-25um__24398320__20240305_170239698_0259,2,0.235,0.118,3.374,255
Basler_acA1920-25um__24398320__20240305_170239698_0260,2,0.275,0.138,3.945,255
Basler_acA1920-25um__24398320__20240305_170239698_0261,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0262,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0263,2,0.348,0.174,4.990,255
Basler_acA1920-25um__24398320__20240305_170239698_0264,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0265,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0266,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0267,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0268,1,0.167,0.167,2.401,255
Basler_acA1920-25um__24398320__20240305_170239698_0269,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0270,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0271,1,0.239,0.239,3.432,255
Basler_acA1920-25um__24398320__20240305_170239698_0272,1,0.108,0.108,1.554,255
Basler_acA1920-25um__24398320__20240305_170239698_0273,1,0.113,0.113,1.626,255
Basler_acA1920-25um__24398320__20240305_170239698_0274,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0275,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0276,2,0.292,0.146,4.194,255
Basler_acA1920-25um__24398320__20240305_170239698_0277,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0278,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0279,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0280,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0281,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0282,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0283,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0284,1,0.196,0.196,2.818,255
Basler_acA1920-25um__24398320__20240305_170239698_0285,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0286,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0287,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0288,1,0.231,0.231,3.309,255
Basler_acA1920-25um__24398320__20240305_170239698_0289,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0290,1,0.037,0.037,0.526,255
Basler_acA1920-25um__24398320__20240305_170239698_0291,1,0.124,0.124,1.773,255
Basler_acA1920-25um__24398320__20240305_170239698_0292,2,0.220,0.110,3.149,255
Basler_acA1920-25um__24398320__20240305_170239698_0293,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0294,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0295,1,0.229,0.229,3.289,255
Basler_acA1920-25um__24398320__20240305_170239698_0296,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0297,1,0.026,0.026,0.369,255
Basler_acA1920-25um__24398320__20240305_170239698_0298,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0299,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0300,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0301,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0302,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0303,2,0.280,0.140,4.020,255
Basler_acA1920-25um__24398320__20240305_170239698_0304,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0305,2,0.273,0.136,3.911,255
Basler_acA1920-25um__24398320__20240305_170239698_0306,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0307,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0308,1,0.199,0.199,2.855,255
Basler_acA1920-25um__24398320__20240305_170239698_0309,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0310,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0311,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0312,0,0.000,NaN,0.000,NaN
